V1,V2,V3
-62.5083333333333,47.4916666666667,-76
-62.4916666666667,47.4916666666667,-73
-62.475,47.4916666666667,-69
-62.4583333333333,47.4916666666667,-66
-62.4416666666667,47.4916666666667,-65
-62.425,47.4916666666667,-64
-62.4083333333333,47.4916666666667,-64
-62.3916666666667,47.4916666666667,-63
-62.375,47.4916666666667,-62
-62.3583333333333,47.4916666666667,-61
-62.3416666666667,47.4916666666667,-59
-62.325,47.4916666666667,-58
-62.3083333333333,47.4916666666667,-56
-62.2916666666667,47.4916666666667,-54
-62.275,47.4916666666667,-52
-62.2583333333333,47.4916666666667,-50
-62.2416666666667,47.4916666666667,-49
-62.225,47.4916666666667,-48
-62.2083333333333,47.4916666666667,-47
-62.1916666666667,47.4916666666667,-46
-62.175,47.4916666666667,-44
-62.1583333333333,47.4916666666667,-42
