pop1 pop2 pop1_long pop2_long type geography fst n_inds least.cost.distance euc.distance dist.to.coast1 dist.to.coast2
GC LN GC_cbr LN_cbr cbr_cbr allopatric 0.006866 47 12.0478543027454 10 0.0189584684890147 0.664060317546171
GC MH GC_cbr MH_cmn cmn_cbr allopatric 0.015665 31 94.1850739815379 67 0.0189584684890147 8.69171627575548
GC MH GC_cbr MH_wht wht_cbr allopatric 0.020668 29 94.1850739815379 67 0.0189584684890147 8.69171627575548
GC MR GC_cbr MR_cbr cbr_cbr allopatric 0.00084055 38 24.7580181002018 22 0.0189584684890147 0.122940810141915
GC RT GC_cbr RT_cmn cmn_cbr allopatric 0.031743 24 37.7594116544224 31 0.0189584684890147 0.283588138995079
GC RT GC_cbr RT_wht wht_cbr allopatric 0.021136 36 37.7594116544224 31 0.0189584684890147 0.283588138995079
GC SF GC_cbr SF_cmn cmn_cbr allopatric 0.013121 25 76.264912108859 56 0.0189584684890147 0.661328928399864
GC SF GC_cbr SF_wht wht_cbr allopatric 0.01976 39 76.264912108859 56 0.0189584684890147 0.661328928399864
GC SH GC_cbr SH_cmn cmn_cbr allopatric 0.019288 34 213.992515117124 160 0.0189584684890147 0.350212979381137
GC SH GC_cbr SH_wht wht_cbr allopatric 0.03593 26 213.992515117124 160 0.0189584684890147 0.350212979381137
GC SK GC_cbr SK_cbr cbr_cbr allopatric 0.0026533 37 9.31925003538442 8 0.0189584684890147 0.376207204758099
GC SR GC_cbr SR_cmn cmn_cbr allopatric 0.02192 36 92.1830101869246 70 0.0189584684890147 2.09303510883343
GC SR GC_cbr SR_wht wht_cbr allopatric 0.01906 37 92.1830101869246 70 0.0189584684890147 2.09303510883343
LN MH LN_cbr MH_cmn cmn_cbr allopatric 0.021692 34 99.5029019833204 77 0.664060317546171 8.69171627575548
LN MH LN_cbr MH_wht wht_cbr allopatric 0.024064 32 99.5029019833204 77 0.664060317546171 8.69171627575548
LN MR LN_cbr MR_cbr cbr_cbr allopatric 0.006796 41 12.8957480211897 12 0.664060317546171 0.122940810141915
LN RT LN_cbr RT_cmn cmn_cbr allopatric 0.041003 27 43.0772396562049 38 0.664060317546171 0.283588138995079
LN RT LN_cbr RT_wht wht_cbr allopatric 0.023964 39 43.0772396562049 38 0.664060317546171 0.283588138995079
LN SF LN_cbr SF_cmn cmn_cbr allopatric 0.012476 28 81.5827401106415 66 0.664060317546171 0.661328928399864
LN SF LN_cbr SF_wht wht_cbr allopatric 0.027224 42 81.5827401106415 66 0.664060317546171 0.661328928399864
LN SH LN_cbr SH_cmn cmn_cbr allopatric 0.027389 37 219.310343118906 170 0.664060317546171 0.350212979381137
LN SH LN_cbr SH_wht wht_cbr allopatric 0.049387 29 219.310343118906 170 0.664060317546171 0.350212979381137
LN SK LN_cbr SK_cbr cbr_cbr allopatric 0.0049423 40 13.9856644668846 11 0.664060317546171 0.376207204758099
