population,year,individual,std.length
PP,2014,27,3.47
PP,2014,28,3.67
PP,2014,29,3.81
PP,2014,3,3.97
PP,2014,30,4.09
PP,2014,31,3.88
PP,2014,32,4.05
PP,2014,33,4.02
PP,2014,34,4.06
PP,2014,35,3.9
PP,2014,36,3.88
PP,2014,37,4.38
PP,2014,38,4.22
PP,2014,39,5.47
PP,2014,4,4.23
PP,2014,40,4.59
PP,2014,41,4.37
PP,2014,42,4.23
PP,2014,43,4.22
PP,2014,44,4.13
PP,2014,45,4.17
PP,2014,46,3.78
PP,2014,5,4.09
PP,2014,6,3.36
PP,2014,7,3.73
PP,2014,8,4.31
PP,2014,9,4.16
PQ,2014,1,5.05
PQ,2014,10,5.13
PQ,2014,11,4.18
PQ,2014,12,4.66
PQ,2014,13,3.36
PQ,2014,14,3.52
PQ,2014,15,3.62
PQ,2014,16,4.92
PQ,2014,17,5.23
PQ,2014,18,5.14
PQ,2014,19,4.96
PQ,2014,2,5.44
PQ,2014,20,4.83
PQ,2014,21,4.62
PQ,2014,22,3.84
PQ,2014,23,5.38
PQ,2014,24,3.79
PQ,2014,25,4.64
PQ,2014,26,5.81
PQ,2014,27,4.62
PQ,2014,28,3.48
PQ,2014,29,5.23
PQ,2014,3,4.84
PQ,2014,30,5.3
PQ,2014,4,6.05
PQ,2014,5,3.94
PQ,2014,6,3.29
PQ,2014,7,5.68
PQ,2014,8,3.44
PQ,2014,9,3.49
PR,2014,1,5.61
PR,2014,10,6.05
PR,2014,11,5.23
PR,2014,12,5.71
PR,2014,13,4.97
PR,2014,14,5.81
PR,2014,15,5.43
PR,2014,16,5.06
PR,2014,17,5.35
PR,2014,18,5.64
PR,2014,19,5.45
PR,2014,2,5.12
PR,2014,20,5.21
PR,2014,21,5.78
PR,2014,22,5.01
PR,2014,23,5.56
PR,2014,24,4.96
PR,2014,25,6.05
PR,2014,26,5.91
PR,2014,27,5.22
PR,2014,28,5.11
PR,2014,29,4.6
PR,2014,3,5.66
PR,2014,30,5.41
PR,2014,31,5.56
PR,2014,32,5.79
PR,2014,33,5.4
PR,2014,34,5.66
PR,2014,35,5.31
PR,2014,36,5.33
PR,2014,37,4.83
PR,2014,38,5.5
PR,2014,39,5.28
PR,2014,4,4.51
PR,2014,40,4.57
PR,2014,41,5.04
PR,2014,42,5.72
PR,2014,43,4.44
PR,2014,44,5.03
PR,2014,45,5.67
PR,2014,46,4.29
PR,2014,47,6.06
PR,2014,48,6.27
PR,2014,49,5.32
PR,2014,5,5.18
PR,2014,50,5.98
PR,2014,51,5.36
PR,2014,52,5.09
PR,2014,53,5.9
PR,2014,54,5.28
PR,2014,55,5.87
PR,2014,56,5.06
PR,2014,57,4.46
PR,2014,58,4.72
PR,2014,59,5.83
PR,2014,6,4.36
PR,2014,60,5.62
PR,2014,61,5.35
PR,2014,62,5.51
PR,2014,63,5.52
PR,2014,64,5.99
PR,2014,65,5.54
PR,2014,66,5.14
PR,2014,67,5.28
PR,2014,68,4.26
PR,2014,69,5.56
PR,2014,7,5.11
PR,2014,70,4.83
PR,2014,71,4.55
PR,2014,72,4.51
PR,2014,73,4.79
PR,2014,74,5.98
PR,2014,75,5.33
PR,2014,76,5.26
PR,2014,77,5.84
PR,2014,78,5.52
PR,2014,79,5.52
PR,2014,8,4.81
PR,2014,80,6.22
PR,2014,81,5.35
PR,2014,82,4.74
PR,2014,83,5.77
PR,2014,84,5.09
PR,2014,85,4.85
PR,2014,86,5.55
PR,2014,87,4.48
PR,2014,88,4.29
PR,2014,89,4.75
PR,2014,9,5.45
PR,2014,90,4.32
PR,2014,99,4.34
RT,2014,1,4.63
RT,2014,10,3.99
RT,2014,12,4.32
RT,2014,13,3.88
RT,2014,14,4.45
RT,2014,15,4.43
RT,2014,16,3.77
RT,2014,17,4.32
RT,2014,18,4.88
RT,2014,19,4.38
RT,2014,2,4.12
RT,2014,20,4.23
RT,2014,21,4.13
RT,2014,22,4.2
RT,2014,23,4.17
RT,2014,24,4.26
RT,2014,25,4.77
RT,2014,26,4.02
RT,2014,27,4.45
RT,2014,28,4.01
RT,2014,29,3.88
RT,2014,3,4.08
RT,2014,30,3.94
RT,2014,31,4.57
RT,2014,32,3.57
RT,2014,33,4.15
RT,2014,34,4.02
RT,2014,35,3.7
RT,2014,36,4.42
RT,2014,37,4.2
RT,2014,38,4.36
RT,2014,39,3.45
RT,2014,4,4
RT,2014,40,5.02
RT,2014,41,4.38
RT,2014,42,4.16
RT,2014,43,4.26
RT,2014,44,4.66
RT,2014,45,4.64
RT,2014,46,4.3
RT,2014,47,5.42
RT,2014,48,4.28
RT,2014,49,4.49
RT,2014,5,4.53
RT,2014,50,4.71
RT,2014,51,4.57
RT,2014,52,4.06
RT,2014,53,3.95
RT,2014,54,4.55
RT,2014,55,4.14
RT,2014,56,4.35
RT,2014,57,4.47
RT,2014,58,4.22
RT,2014,59,4.08
RT,2014,6,4.62
RT,2014,60,4.33
RT,2014,61,4.25
RT,2014,62,5.3
RT,2014,63,3.24
RT,2014,64,3.6
RT,2014,65,3.93
RT,2014,66,3.89
RT,2014,67,4.45
RT,2014,68,4.61
RT,2014,69,4.08
RT,2014,7,4.29
RT,2014,70,4.19
RT,2014,71,4.06
RT,2014,72,3.6
RT,2014,73,3.94
RT,2014,74,3.68
RT,2014,75,3.99
RT,2014,8,4.25
RT,2014,9,4.12
SF,2014,1,5.42
SF,2014,10,4.79
SF,2014,100,4.52
SF,2014,101,4.02
SF,2014,102,3.94
SF,2014,103,4.29
SF,2014,104,4.24
SF,2014,11,4.23
SF,2014,12,4.79
SF,2014,13,4.36
SF,2014,14,4.28
SF,2014,15,4.69
SF,2014,16,4.15
SF,2014,17,4.14
SF,2014,18,4.04
SF,2014,19,4.49
SF,2014,2,3.91
SF,2014,20,3.83
SF,2014,21,4.14
SF,2014,22,4.66
SF,2014,23,3.87
SF,2014,24,4.16
SF,2014,25,4
SF,2014,26,4.14
SF,2014,27,4.19
SF,2014,28,4.59
SF,2014,29,4.22
SF,2014,3,4.21
SF,2014,30,4.14
SF,2014,31,4.25
SF,2014,32,4.29
SF,2014,33,4.2
SF,2014,34,4.2
SF,2014,35,4.28
SF,2014,36,3.6
SF,2014,36,4.7
SF,2014,37,3.55
SF,2014,38,4.82
SF,2014,39,4.4
SF,2014,4,3.93
SF,2014,40,4.49
