pop1 ecotype1 pop2 ecotype2 geography ecology group reg1 reg2 geography2 group2 fst
cr stream hald lake allo D allo_D or ne allo allo_D 0.774608
cr stream japan japansea allo D allo_D or jp allo allo_D 0.895545
cr stream japan marine allo D allo_D or jp allo allo_D 0.751663
cr stream joes lake allo D allo_D or bc allo allo_D 0.761309
cr stream joes stream allo S allo_S or bc allo allo_S 0.764715
cr stream litcampbell marine allo D allo_D or bc allo allo_D 0.653903
cr stream ln marine allo D allo_D or ns allo allo_D 0.771916
cr stream mariager marine allo D allo_D or ne allo allo_D 0.755782
cr stream mh marine allo D allo_D or ns allo allo_D 0.793038
cr stream mh white allo D allo_D or ns allo allo_D 0.795572
cr stream misty lake allo D allo_D or bc allo allo_D 0.680889
cr stream misty stream allo S allo_S or bc allo allo_S 0.681248
cr stream ms marine allo D allo_D or or para para_D 0.605136
cr stream mud lake allo D allo_D or al allo allo_D 0.695724
cr stream pcr lake allo D allo_D or or para para_D 0.558089
cr stream pl lake allo D allo_D or or para para_D 0.141841
cr stream rab marine allo D allo_D or al allo allo_D 0.73445
cr stream rb stream allo S allo_S or or para para_S 0.263282
cr stream res marine allo D allo_D or al allo allo_D 0.713391
cr stream roberts lake allo D allo_D or bc allo allo_D 0.649884
cr stream roberts stream allo S allo_S or bc allo allo_S 0.695359
cr stream sj marine allo D allo_D or or para para_D 0.526453
cr stream sk marine allo D allo_D or ns allo allo_D 0.781356
cr stream sr marine allo D allo_D or ns allo allo_D 0.778396
cr stream sr white allo D allo_D or ns allo allo_D 0.777649
cr stream stl lake allo D allo_D or or para para_D 0.0454433
cr stream wc stream allo S allo_S or or para para_S 0.587457
cs marine al marine allo S allo_S or ns allo allo_S 0.368312
cs marine bea lake allo D allo_D or al allo allo_D 0.316443
cs marine boot lake allo D allo_D or bc allo allo_D 0.340401
cs marine boot stream allo D allo_D or bc allo allo_D 0.354234
cs marine cl marine allo S allo_S or ns allo allo_S 0.389028
cs marine cl white allo D allo_D or ns allo allo_D 0.376797
cs marine constance lake allo D allo_D or sl allo allo_D 0.388304
cs marine constance stream allo D allo_D or sl allo allo_D 0.384539
cs marine cp marine allo S allo_S or ns allo allo_S 0.389493
cs marine denmark marine allo S allo_S or ne allo allo_S 0.398543
cs marine geneva lake allo D allo_D or sl allo allo_D 0.4167
cs marine geneva stream allo D allo_D or sl allo allo_D 0.421556
cs marine hadsten lake allo D allo_D or ne allo allo_D 0.471699
cs marine hald lake allo D allo_D or ne allo allo_D 0.43219
cs marine japan japansea allo D allo_D or jp allo allo_D 0.777974
cs marine japan marine allo S allo_S or jp allo allo_S 0.396078
cs marine joes lake allo D allo_D or bc allo allo_D 0.393299
cs marine joes stream allo D allo_D or bc allo allo_D 0.386112
cs marine litcampbell marine allo S allo_S or bc allo allo_S 0.17891
cs marine ln marine allo S allo_S or ns allo allo_S 0.375071
cs marine mariager marine allo S allo_S or ne allo allo_S 0.399054
cs marine mh marine allo S allo_S or ns allo allo_S 0.348738
cs marine mh white allo D allo_D or ns allo allo_D 0.341533
cs marine misty lake allo D allo_D or bc allo allo_D 0.30776
cs marine misty stream allo D allo_D or bc allo allo_D 0.307664
cs marine ms marine allo S allo_S or or para para_S 0.100089
cs marine mud lake allo D allo_D or al allo allo_D 0.333323
cs marine pcr lake allo D allo_D or or para para_D 0.131885
cs marine pl lake allo D allo_D or or para para_D 0.546205
cs marine rab marine allo S allo_S or al allo allo_S 0.186712
cs marine rb stream allo D allo_D or or para para_D 0.389934
cs marine res marine allo S allo_S or al allo allo_S 0.241314
cs marine roberts lake allo D allo_D or bc allo allo_D 0.254477
cs marine roberts stream allo D allo_D or bc allo allo_D 0.298139
cs marine sj marine para S para_S or or para para_S 0.00903331
cs marine sk marine allo S allo_S or ns allo allo_S 0.379554
cs marine sr marine allo S allo_S or ns allo allo_S 0.37851
cs marine sr white allo D allo_D or ns allo allo_D 0.374239
