"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"93" "RT" "whtstbk_gbs_2015_L1_brds_RT22" "RT22" 1 1 NA NA 1
"94" "RT" "whtstbk_gbs_2015_L1_brds_RT42" "RT42" 1 1 NA NA 1
"95" "RT" "whtstbk_gbs_2015_L1_brds_RT47" "RT47" 1 1 NA NA 1
"96" "RT" "whtstbk_gbs_2015_L1_brds_RT50" "RT50" 1 1 NA NA 1
"97" "RT" "whtstbk_gbs_2015_L1_brds_RT60" "RT60" 1 1 NA NA 1
"98" "SF" "whtstbk_gbs_2015_L1_brds_SF12" "SF12" 1 1 NA NA 1
"99" "SF" "whtstbk_gbs_2015_L1_brds_SF2" "SF2" 1 1 NA NA 1
"100" "SF" "whtstbk_gbs_2015_L1_brds_SF24" "SF24" 1 1 NA NA 1
"101" "SF" "whtstbk_gbs_2015_L1_brds_SF27" "SF27" 1 1 NA NA 1
"102" "SF" "whtstbk_gbs_2015_L1_brds_SF28" "SF28" 1 1 NA NA 1
"103" "SF" "whtstbk_gbs_2015_L1_brds_SF32" "SF32" 1 1 NA NA 1
"104" "SF" "whtstbk_gbs_2015_L1_brds_SF5" "SF5" 1 1 NA NA 1
"105" "SF" "whtstbk_gbs_2015_L1_brds_SF58" "SF58" 1 1 NA NA 1
"106" "SF" "whtstbk_gbs_2015_L1_brds_SF83" "SF83" 1 1 NA NA 1
"107" "SH" "whtstbk_gbs_2015_L1_brds_SH11" "SH11" 1 1 NA NA 1
"108" "SH" "whtstbk_gbs_2015_L1_brds_SH13" "SH13" 1 1 NA NA 1
"109" "SH" "whtstbk_gbs_2015_L1_brds_SH14" "SH14" 1 1 NA NA 1
"110" "SH" "whtstbk_gbs_2015_L1_brds_SH18" "SH18" 1 1 NA NA 1
"111" "SH" "whtstbk_gbs_2015_L1_brds_SH19" "SH19" 1 1 NA NA 1
"112" "SH" "whtstbk_gbs_2015_L1_brds_SH4" "SH4" 1 1 NA NA 1
"113" "SH" "whtstbk_gbs_2015_L1_brds_SH6" "SH6" 1 1 NA NA 1
"114" "SH" "whtstbk_gbs_2015_L1_brds_SH7" "SH7" 1 1 NA NA 1
"115" "SK" "whtstbk_gbs_2015_L1_brds_SK10" "SK10" 1 1 NA NA 1
"116" "SK" "whtstbk_gbs_2015_L1_brds_SK13" "SK13" 1 1 NA NA 1
"117" "SK" "whtstbk_gbs_2015_L1_brds_SK14" "SK14" 1 1 NA NA 1
"118" "SK" "whtstbk_gbs_2015_L1_brds_SK17" "SK17" 1 1 NA NA 1
"119" "SK" "whtstbk_gbs_2015_L1_brds_SK19" "SK19" 1 1 NA NA 1
"120" "SK" "whtstbk_gbs_2015_L1_brds_SK25" "SK25" 1 1 NA NA 1
"121" "SK" "whtstbk_gbs_2015_L1_brds_SK26" "SK26" 1 1 NA NA 1
"122" "SK" "whtstbk_gbs_2015_L1_brds_SK4" "SK4" 1 1 NA NA 1
"123" "SK" "whtstbk_gbs_2015_L1_brds_SK8" "SK8" 1 1 NA NA 1
